,labels,file_path
0,5,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-06-02-02-01-07.wav
1,2,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-03-01-02-02-07.wav
2,0,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-01-01-01-01-07.wav
3,3,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-04-01-01-02-07.wav
4,2,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-03-01-01-02-07.wav
5,0,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-01-01-01-02-07.wav
6,6,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-07-01-01-01-07.wav
7,7,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-08-01-01-02-07.wav
8,3,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-04-02-01-01-07.wav
9,5,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-06-01-02-01-07.wav
10,1,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-02-02-01-02-07.wav
11,2,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-03-01-01-01-07.wav
12,7,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-08-01-02-02-07.wav
13,0,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-01-01-02-01-07.wav
14,6,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-07-02-02-02-07.wav
15,2,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-03-02-02-02-07.wav
16,7,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-08-02-02-01-07.wav
17,6,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-07-01-01-02-07.wav
18,7,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-08-01-02-01-07.wav
19,4,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-05-02-01-01-07.wav
20,5,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-06-01-02-02-07.wav
21,2,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-03-02-01-01-07.wav
22,3,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-04-02-02-02-07.wav
23,4,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-05-01-02-02-07.wav
24,5,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-06-01-01-02-07.wav
25,1,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-02-01-02-02-07.wav
26,1,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-02-02-02-02-07.wav
27,4,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-05-02-02-02-07.wav
28,5,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-06-02-02-02-07.wav
29,2,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-03-02-01-02-07.wav
30,1,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-02-01-02-01-07.wav
31,3,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-04-01-02-02-07.wav
32,1,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-02-01-01-02-07.wav
33,5,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-06-01-01-01-07.wav
34,7,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-08-02-01-02-07.wav
35,4,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-05-02-01-02-07.wav
36,3,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-04-02-02-01-07.wav
37,2,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-03-02-02-01-07.wav
38,5,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-06-02-01-02-07.wav
39,5,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-06-02-01-01-07.wav
40,6,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-07-02-02-01-07.wav
41,3,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-04-01-02-01-07.wav
42,0,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-01-01-02-02-07.wav
43,1,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-02-02-01-01-07.wav
44,1,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-02-01-01-01-07.wav
45,7,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-08-01-01-01-07.wav
46,4,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-05-01-02-01-07.wav
47,1,/home/nisal/.cache/huggingface/datasets/downloads/extracted/b03c6695ef8701a3ca6098d20a2655b5dda1a761aabbb11b27f41360eef5df68/Actor_07/03-01-02-02-02-01-07.wav
